#K-Path      Energy-Level
# NKPTS & NBANDS:  80  28
# Band-Index    1
   0.14586    -11.101437
   0.17017    -11.229553
   0.19448    -11.353998
   0.21879    -11.474743
   0.24310    -11.464437
   0.26741    -11.393481
   0.29172    -11.257897
   0.31603    -11.125026
   0.34034    -10.995498
   0.36465    -10.869965
   0.38896    -10.749086
   0.41327    -10.633506
   0.43758    -10.523840
   0.46189    -10.420635
   0.48620    -10.324356
   0.51051    -10.237516
   0.53482    -10.163418
   0.55913    -10.096742
   0.58344    -10.037321
   0.60775     -9.984877
   0.63206     -9.939024
   0.65637     -9.899309
   0.68068     -9.865227
   0.70499     -9.836244
   0.72930     -9.811832
   0.75361     -9.791477
   0.77792     -9.774702
   0.80223     -9.761071
   0.82654     -9.750196
   0.85085     -9.741751
   0.87516     -9.735463
   0.89947     -9.731122
   0.92378     -9.728578
   0.94809     -9.727737
   0.94809     -9.727737
   0.96597     -9.728267
   0.98385     -9.729832
   1.00173     -9.732352
   1.01961     -9.735708
   1.03748     -9.739728
   1.05536     -9.744216
   1.07324     -9.748940
   1.09112     -9.753645
   1.10899     -9.758096
   1.12687     -9.776613
   1.14475     -9.795694
   1.16263     -9.814366
   1.18051     -9.832225
   1.19838     -9.848885
   1.21626     -9.863984
   1.23414     -9.877196
   1.25202     -9.888226
   1.26989     -9.896805
   1.28777     -9.902712
   1.30565     -9.905748
   1.32353     -9.905753
   1.34141     -9.902594
   1.35928     -9.896170
   1.37716     -9.886409
   1.39504     -9.873260
   1.41292     -9.856698
   1.43079     -9.836717
   1.44867     -9.813326
   1.46655     -9.786552
   1.48443     -9.756432
   1.50231     -9.723019
   1.52018     -9.686371
   1.53806     -9.646548
   1.55594     -9.603633
   1.57382     -9.557707
   1.59169     -9.508860
   1.60957     -9.457201
   1.62745     -9.402877
   1.64533     -9.346154
 
 
# Band-Index    6
   1.64533     -9.346067
   1.62745     -9.287384
   1.60957     -9.228335
   1.59169     -9.180816
   1.57382     -9.196874
   1.55594     -9.243756
   1.53806     -9.292643
   1.52018     -9.340210
   1.50231     -9.385733
   1.48443     -9.428941
   1.46655     -9.469697
   1.44867     -9.507904
   1.43079     -9.543500
   1.41292     -9.576438
   1.39504     -9.606687
   1.37716     -9.634220
   1.35928     -9.659032
   1.34141     -9.681127
   1.32353     -9.700530
   1.30565     -9.717277
   1.28777     -9.731422
   1.26989     -9.743044
   1.25202     -9.752242
   1.23414     -9.759135
   1.21626     -9.763872
   1.19838     -9.766624
   1.18051     -9.767578
   1.16263     -9.766957
   1.14475     -9.764996
   1.12687     -9.761945
   1.10899     -9.757530
   1.09112     -9.738945
   1.07324     -9.721235
   1.05536     -9.704841
   1.03748     -9.690169
   1.01961     -9.677596
   1.00173     -9.667449
   0.98385     -9.659999
   0.96597     -9.655444
   0.94809     -9.653914
   0.94809     -9.653914
   0.92378     -9.654950
   0.89947     -9.658089
