#K-Path          Energy    tot
# NKPTS & NBANDS:  99  48
# Band-Index    1
    1.54539    -14.278168    0.101
    1.52462    -14.291157    0.118
    1.50386    -14.304096    0.133
    1.48309    -14.316866    0.151
    1.46233    -14.329355    0.168
    1.44157    -14.341459    0.186
    1.42080    -14.353086    0.205
    1.40004    -14.364153    0.222
    1.37927    -14.374584    0.239
    1.35851    -14.384309    0.257
    1.33775    -14.393274    0.272
    1.31698    -14.401421    0.288
    1.29622    -14.408710    0.300
    1.27545    -14.415099    0.312
    1.25469    -14.420557    0.321
    1.23393    -14.425054    0.330
    1.21316    -14.428571    0.335
    1.19240    -14.431088    0.341
    1.17163    -14.432591    0.344
    1.15087    -14.433085    0.344
    1.15087    -14.433085    0.344
    1.11490    -14.437287    0.366
    1.07894    -14.449475    0.421
    1.04297    -14.468471    0.496
    1.00701    -14.493044    0.565
    0.97104    -14.522391    0.614
    0.93508    -14.556039    0.644
    0.89912    -14.593629    0.659
    0.86315    -14.634743    0.664
    0.82719    -14.678899    0.662
    0.79122    -14.725587    0.656
    0.75526    -14.774246    0.648
    0.71929    -14.824338    0.640
    0.68333    -14.875304    0.630
    0.64736    -14.926609    0.619
    0.61140    -14.977770    0.608
    0.57543    -15.028340    0.598
    0.53947    -15.077881    0.587
    0.50350    -15.125942    0.578
    0.46754    -15.172184    0.569
    0.43158    -15.216291    0.561
    0.39561    -15.257854    0.553
    0.35965    -15.296687    0.547
    0.32368    -15.332501    0.541
    0.28772    -15.365106    0.535
    0.25175    -15.394305    0.530
    0.21579    -15.419934    0.525
    0.17982    -15.441848    0.523
    0.14386    -15.459859    0.519
    0.10789    -15.473944    0.517
    0.07193    -15.484070    0.515
    0.03596    -15.490258    0.515
    0.00000    -15.492243    0.514

# Band-Index    4
    0.00000    -15.143936    0.179
    0.03596    -15.142192    0.179
    0.07193    -15.136697    0.179
    0.10789    -15.127715    0.178
    0.14386    -15.115223    0.176
    0.17982    -15.099223    0.175
    0.21579    -15.079795    0.175
    0.25175    -15.057097    0.172
    0.28772    -15.031227    0.170
    0.32368    -15.002332    0.166
    0.35965    -14.970617    0.163
    0.39561    -14.936249    0.159
    0.43158    -14.899487    0.156
    0.46754    -14.860484    0.152
    0.50350    -14.819707    0.146
    0.53947    -14.777373    0.141
    0.57543    -14.733818    0.135
    0.61140    -14.689409    0.129
    0.64736    -14.644573    0.122
    0.68333    -14.599721    0.114
    0.71929    -14.555292    0.105
    0.75526    -14.511782    0.097
    0.79122    -14.469694    0.088
    0.82719    -14.429527    0.079
    0.86315    -14.391818    0.070
    0.89912    -14.357039    0.061
    0.93508    -14.325701    0.051
    0.97104    -14.298264    0.044
    1.00701    -14.275132    0.036
    1.04297    -14.256690    0.031
    1.07894    -14.243248    0.026
    1.11490    -14.235075    0.023
    1.15087    -14.232340    0.023
    1.15087    -14.232340    0.023
    1.17163    -14.231939    0.023
    1.19240    -14.230716    0.023
    1.21316    -14.228672    0.023
    1.23393    -14.225824    0.023
    1.25469    -14.222191    0.022
    1.27545    -14.217799    0.022
    1.29622    -14.212680    0.021
    1.31698    -14.206869    0.020
    1.33775    -14.200412    0.020
    1.35851    -14.193352    0.020
    1.37927    -14.185745    0.019
    1.40004    -14.177645    0.018
    1.42080    -14.169118    0.016
    1.44157    -14.160230    0.015
    1.46233    -14.151053    0.015
    1.48309    -14.141666    0.014
    1.50386    -14.132145    0.013
    1.52462    -14.122575    0.012
    1.54539    -14.113044    0.011
    1.56615    -14.103641    0.010
    1.58692    -14.094458    0.008
    1.60768    -14.085592    0.006
    1.62844    -14.077129    0.006
    1.64921    -14.069172    0.005
    1.66997    -14.061817    0.004
    1.69074    -14.055158    0.003
    1.71150    -14.049288    0.002
    1.73226    -14.044301    0.001
    1.75303    -14.040283    0.001
    1.77379    -14.037321    0.000
    1.79456    -14.035495    0.000
    1.81532    -14.034871    0.000
    1.81532    -14.034871    0.000
    1.85685    -14.037479    0.000
    1.89838    -14.045518    0.001
    1.93990    -14.059164    0.004
    1.98143    -14.078400    0.009
    2.02296    -14.103065    0.014
    2.06449    -14.132898    0.021
    2.10602    -14.167563    0.029
    2.14755    -14.206658    0.038
    2.18907    -14.249732    0.048
    2.23060    -14.296263    0.059
    2.27213    -14.345692    0.069
    2.31366    -14.397423    0.080
    2.35519    -14.450852    0.090
    2.39671    -14.505366    0.101
    2.43824    -14.560398    0.110
    2.47977    -14.615352    0.119
    2.52130    -14.669724    0.127
    2.56283    -14.722997    0.135
    2.60436    -14.774694    0.141
    2.64588    -14.824363    0.147
    2.68741    -14.871594    0.152
    2.72894    -14.915975    0.157
    2.77047    -14.957308    0.162
    2.81200    -14.995045    0.166
    2.85352    -15.029005    0.169
    2.89505    -15.058908    0.172
    2.93658    -15.084597    0.175
    2.97811    -15.105801    0.176
    3.01964    -15.122460    0.177
