#K-Path          Energy    tot
# NKPTS & NBANDS:  99  48
# Band-Index    1
    2.18907    -14.249732    0.739
    2.23060    -14.296263    0.725
    2.27213    -14.345692    0.710
    2.31366    -14.397423    0.693
    2.35519    -14.450852    0.678
    2.39671    -14.505366    0.663
    2.43824    -14.560398    0.649
    2.47977    -14.615352    0.635
    2.52130    -14.669724    0.622
    2.56283    -14.722997    0.609
    2.60436    -14.774694    0.597
    2.64588    -14.824363    0.585
    2.68741    -14.871594    0.575
    2.72894    -14.915975    0.566
    2.77047    -14.957308    0.558
    2.81200    -14.995045    0.551
    2.85352    -15.029005    0.544
    2.89505    -15.058908    0.539
    2.93658    -15.084597    0.535
    2.97811    -15.105801    0.531
    3.01964    -15.122460    0.528
    3.06117    -15.134329    0.526
    3.10269    -15.141564    0.524
    3.14422    -15.143936    0.524

# Band-Index    5
    3.14422    -8.072712    0.098
    3.10269    -8.065665    0.098
    3.06117    -8.043915    0.098
    3.01964    -8.008056    0.100
    2.97811    -7.958358    0.101
    2.93658    -7.895685    0.103
    2.89505    -7.820623    0.105
    2.85352    -7.734446    0.107
    2.81200    -7.638412    0.112
    2.77047    -7.534455    0.117
    2.72894    -7.424402    0.123
    2.68741    -7.310945    0.131
    2.64588    -7.197916    0.141
    2.60436    -7.090174    0.152
    2.56283    -6.994018    0.165
    2.52130    -6.918308    0.175
    2.47977    -6.872590    0.174
    2.43824    -6.863621    0.154
    2.39671    -6.890201    0.120
    2.35519    -6.941316    0.083
    2.31366    -7.002469    0.057
    2.27213    -7.061645    0.041
    2.23060    -7.110816    0.032
    2.18907    -7.144952    0.024
    2.14755    -7.160950    0.021
    2.10602    -7.157117    0.018
    2.06449    -7.133019    0.016
    2.02296    -7.090572    0.016
    1.98143    -7.061106    0.014
    1.93990    -7.112670    0.005
    1.89838    -7.155395    0.004
    1.85685    -7.180844    0.003
    1.81532    -7.189142    0.003
    1.81532    -7.189142    0.003
    1.79456    -7.187153    0.003
    1.77379    -7.181315    0.003
    1.75303    -7.171876    0.003
    1.73226    -7.159122    0.004
    1.71150    -7.143481    0.005
    1.69074    -7.125791    0.006
    1.66997    -7.109706    0.012
    1.64921    -7.124942    0.024
    1.62844    -7.178862    0.020
    1.60768    -7.238674    0.017
    1.58692    -7.299327    0.017
    1.56615    -7.359619    0.014
    1.54539    -7.418898    0.013
    1.52462    -7.476718    0.012
    1.50386    -7.532752    0.012
    1.48309    -7.586705    0.011
    1.46233    -7.638342    0.011
    1.44157    -7.687453    0.011
    1.42080    -7.733856    0.010
    1.40004    -7.777397    0.010
    1.37927    -7.817935    0.009
    1.35851    -7.855329    0.009
    1.33775    -7.889491    0.009
    1.31698    -7.920307    0.009
    1.29622    -7.947693    0.009
    1.27545    -7.971572    0.009
    1.25469    -7.991887    0.009
    1.23393    -8.008575    0.009
    1.21316    -8.021590    0.009
    1.19240    -8.030906    0.009
    1.17163    -8.036472    0.009
    1.15087    -8.038328    0.009
    1.15087    -8.038328    0.009
    1.11490    -8.029269    0.009
    1.07894    -8.002390    0.009
    1.04297    -7.958374    0.009
    1.00701    -7.898366    0.010
    0.97104    -7.823833    0.011
    0.93508    -7.736635    0.013
    0.89912    -7.639044    0.016
    0.86315    -7.533813    0.020
    0.82719    -7.424392    0.027
    0.79122    -7.315555    0.038
    0.75526    -7.213606    0.057
    0.71929    -7.127374    0.081
    0.68333    -7.066519    0.110
    0.64736    -7.038157    0.133
    0.61140    -7.044000    0.146
    0.57543    -7.080130    0.147
    0.53947    -7.139522    0.143
    0.50350    -7.215168    0.137
    0.46754    -7.300930    0.132
    0.43158    -7.391649    0.125
    0.39561    -7.483580    0.119
    0.35965    -7.574101    0.115
    0.32368    -7.660688    0.112
    0.28772    -7.741765    0.107
    0.25175    -7.815802    0.106
    0.21579    -7.881926    0.104
    0.17982    -7.938992    0.102
    0.14386    -7.986647    0.101
    0.10789    -8.024113    0.099
    0.07193    -8.051103    0.098
    0.03596    -8.067374    0.098
    0.00000    -8.072712    0.098

# Band-Index    6
    0.00000    -7.121378    0.541
    0.03596    -7.116757    0.541
    0.07193    -7.102361    0.540
    0.10789    -7.078218    0.539
    0.14386    -7.044701    0.538
    0.17982    -7.002426    0.536
    0.21579    -6.952155    0.535
    0.25175    -6.894409    0.533
    0.28772    -6.831026    0.530
    0.32368    -6.762753    0.527
    0.35965    -6.691856    0.525
    0.39561    -6.620741    0.521
    0.43158    -6.552710    0.517
    0.46754    -6.492142    0.513
    0.50350    -6.444859    0.510
    0.53947    -6.418119    0.505
    0.57543    -6.419897    0.497
    0.61140    -6.454445    0.493
    0.64736    -6.517640    0.498
    0.68333    -6.597989    0.521
    0.71929    -6.685345    0.552
    0.75526    -6.774505    0.580
    0.79122    -6.864011    0.598
    0.82719    -6.952597    0.608
    0.86315    -7.038790    0.610
    0.89912    -7.120718    0.609
    0.93508    -7.196459    0.606
    0.97104    -7.264179    0.602
    1.00701    -7.322153    0.596
    1.04297    -7.368911    0.592
    1.07894    -7.403242    0.589
    1.11490    -7.424223    0.587
    1.15087    -7.431308    0.586
    1.15087    -7.431308    0.586
    1.17163    -7.429533    0.586
    1.19240    -7.424211    0.586
    1.21316    -7.415284    0.586
    1.23393    -7.402812    0.586
    1.25469    -7.386803    0.585
    1.27545    -7.367300    0.586
    1.29622    -7.344356    0.585
    1.31698    -7.318015    0.585
    1.33775    -7.288349    0.585
    1.35851    -7.255417    0.584
    1.37927    -7.219322    0.585
    1.40004    -7.180132    0.584
    1.42080    -7.137971    0.584
    1.44157    -7.092968    0.585
    1.46233    -7.045292    0.585
    1.48309    -6.995176    0.585
    1.50386    -6.943195    0.583
    1.52462    -6.904769    0.148
    1.54539    -6.931677    0.017
    1.56615    -6.961362    0.010
    1.58692    -6.990638    0.007
    1.60768    -7.018794    0.005
    1.62844    -7.044733    0.003
    1.64921    -7.063762    0.004
    1.66997    -7.043718    0.022
    1.69074    -6.993241    0.050
    1.71150    -6.946549    0.179
    1.73226    -6.931206    0.597
    1.75303    -6.939181    0.665
    1.77379    -6.947359    0.674
    1.79456    -6.952730    0.676
    1.81532    -6.954598    0.675
    1.81532    -6.954598    0.675
    1.85685    -6.946666    0.675
    1.89838    -6.922143    0.674
    1.93990    -6.947237    0.010
    1.98143    -7.010151    0.005
    2.02296    -6.961930    0.007
    2.06449    -6.866586    0.018
    2.10602    -6.760504    0.097
    2.14755    -6.703623    0.494
    2.18907    -6.697947    0.580
    2.23060    -6.684653    0.591
    2.27213    -6.657650    0.587
    2.31366    -6.617645    0.572
    2.35519    -6.566089    0.544
    2.39671    -6.504000    0.502
    2.43824    -6.433760    0.462
    2.47977    -6.365349    0.448
    2.52130    -6.319626    0.464
    2.56283    -6.314809    0.485
    2.60436    -6.349076    0.498
    2.64588    -6.409758    0.506
    2.68741    -6.486359    0.512
    2.72894    -6.570937    0.517
    2.77047    -6.658079    0.522
    2.81200    -6.743673    0.526
    2.85352    -6.824828    0.529
    2.89505    -6.898868    0.533
    2.93658    -6.964439    0.535
    2.97811    -7.019906    0.537
    3.01964    -7.063965    0.539
    3.06117    -7.096068    0.540
    3.10269    -7.115333    0.541
    3.14422    -7.121378    0.541

# Band-Index    7
    3.14422    -3.834641    0.001
    3.10269    -3.840838    0.001
    3.06117    -3.892780    0.001
    3.01964    -3.979115    0.001
    2.97811    -4.090001    0.001
    2.93658    -4.224202    0.001
    2.89505    -4.377158    0.002
    2.85352    -4.547338    0.001
    2.81200    -4.725525    0.002
    2.77047    -4.909616    0.002
    2.72894    -5.095131    0.002
    2.68741    -5.277724    0.002
    2.64588    -5.451989    0.003
    2.60436    -5.611103    0.005
    2.56283    -5.743384    0.015
    2.52130    -5.833311    0.039
    2.47977    -5.870884    0.071
    2.43824    -5.865211    0.098
    2.39671    -5.834923    0.124
    2.35519    -5.807467    0.198
    2.31366    -5.922346    0.027
    2.27213    -6.106885    0.013
    2.23060    -6.283010    0.014
    2.18907    -6.445479    0.026
    2.14755    -6.584760    0.112
    2.10602    -6.643417    0.509
    2.06449    -6.666017    0.634
    2.02296    -6.745990    0.663
    1.98143    -6.821097    0.669
    1.93990    -6.880290    0.672
    1.89838    -6.872761    0.010
    1.85685    -6.812218    0.010
    1.81532    -6.787876    0.010
    1.81532    -6.787876    0.010
    1.79456    -6.794447    0.010
    1.77379    -6.813757    0.012
    1.75303    -6.843950    0.020
    1.73226    -6.880061    0.086
    1.71150    -6.896819    0.501
    1.69074    -6.883912    0.627
    1.66997    -6.864166    0.646
    1.64921    -6.841538    0.651
    1.62844    -6.817232    0.650
    1.60768    -6.792854    0.643
    1.58692    -6.774093    0.624
    1.56615    -6.786338    0.584
    1.54539    -6.833339    0.571
    1.52462    -6.884324    0.443
    1.50386    -6.870133    0.010
    1.48309    -6.841377    0.012
    1.46233    -6.813274    0.015
    1.44157    -6.786368    0.019
    1.42080    -6.760961    0.023
    1.40004    -6.737272    0.026
    1.37927    -6.715464    0.031
    1.35851    -6.695648    0.035
    1.33775    -6.677880    0.038
    1.31698    -6.662169    0.043
    1.29622    -6.648520    0.047
    1.27545    -6.636860    0.051
    1.25469    -6.627132    0.054
    1.23393    -6.619297    0.056
    1.21316    -6.613247    0.057
    1.19240    -6.608962    0.059
    1.17163    -6.606338    0.060
    1.15087    -6.605461    0.060
    1.15087    -6.605461    0.060
    1.11490    -6.598427    0.060
    1.07894    -6.577515    0.063
    1.04297    -6.543008    0.066
    1.00701    -6.495442    0.070
    0.97104    -6.435586    0.077
    0.93508    -6.364400    0.086
    0.89912    -6.283211    0.099
    0.86315    -6.193799    0.116
    0.82719    -6.099124    0.139
